asset_id	local_path	file_bytes	md5	sha256	duration_seconds	channels	sample_rate_hz	bit_depth
usc-boats-ballast-normal	masters/usc-sound-effect-archive/ballast/boats-sub-ballast-blow.wav	3296876	3fe25589a6b9342b3d8d61a53db8a546	0b3773ef38bac68f0ab63409cf2c4f36a96c75d533c56fc9636d2aaa84827e8b	22.885750	1	48000	24
usc-boats-control-room	masters/usc-sound-effect-archive/interior/boats-sub-control-room.wav	6439452	e001771a5ebeffd5eb9bf590c886d2ff	22f8e9733a1a74587d05ba4fbb56008cd73236ab070d066ef6656d337a476172	44.709375	1	48000	24
usc-boats-propeller	masters/usc-sound-effect-archive/propulsion/boats-sub-propeller-underwater.wav	720210	5a6c40251a66267913d65d2d66a9b63f	a7eff3a139f8227f5abd7a6c689bcf436367f03f42646ed8b14a0e18ca62821f	4.992292	1	48000	24
usc-boats-torpedo-prop	masters/usc-sound-effect-archive/torpedo/boats-torpedo-traveling-popping-prop.wav	966142	26ba7ce01b16ce52d156499569c977a9	54717c770e79c7d7a8c574dad34b3bc5a44ca6abe6323dcddf2d0b8251afef85	6.700000	1	48000	24
usc-boats-prop-churn	masters/usc-sound-effect-archive/propulsion/boats-sub-prop-churning.wav	6232428	7df9f7ea360ec5ba7be02f9d40dcbf53	667d00d20773bc2fd8672315fd5fd44bfba69761068075600406510a022cc336	43.271229	1	48000	24
usc-metal-crusher	masters/usc-sound-effect-archive/hull-stress/metal-car-crusher-leaks-moans.wav	3709474	cec75d239fa3d096aaf9c2eeeedc8ee2	c0e18e0ab464efbd2fa902bf33e6e1863c61d7ea31477e865e3343058eb64a73	25.750833	1	48000	24
usc-metal-girders	masters/usc-sound-effect-archive/hull-stress/metal-steel-girders-wrench-tear.wav	7750506	446cb3de50fbce24973611d2c6c45020	1068d8af03371a3d59ac554428e59a0703d9e73892fa2a4299eb3e71e57a36f3	53.813542	1	48000	24
usc-air-pressurized	masters/usc-sound-effect-archive/air/r17-01-pressurized-air.wav	1706676	07eaffcaa594832d2ebdb89a3f159687	74264b416c6e02be765c6e7b65ee0e761eb10fa913dac90ff586b61d07d47d37	11.843917	1	48000	24
usc-air-compressed	masters/usc-sound-effect-archive/air/r17-35-steam-or-compressed-air.wav	4315314	e4061bc2b26105ecb590dd842c0c56c3	75deab41a331442a20880c1e462b4940936857111a6c4e3b8eddb9317d12aa48	10.310021	1	48000	24
usc-air-blast-07	masters/usc-sound-effect-archive/air/r28-07-big-blasts-of-air.wav	6636988	ccf0999d569e3cd1b131ca0a657a09e0	08a3424384c77c13b5b499e7603dcd3641688a467dd7d4902854819750438863	25.171063	1	48000	24
usc-air-blast-35	masters/usc-sound-effect-archive/air/r28-35-big-blasts-of-air.wav	5711694	80701e272ae05cfaf35b5977b1effcf2	dc2e88d153a11725577253489cdef80e4dedc75d349f1d5a9d2255e4dde0f710	18.745313	1	48000	24
usc-air-blast-37	masters/usc-sound-effect-archive/air/r28-37-big-blasts-of-air.wav	2749816	e1a0cea1e97ed779114569b24490b48f	1e343923420d6bb56171f45420a105d3963ba1a319179c2a50f2d6fac0b6eed0	19.087937	1	48000	24
usc-water-big-flood	masters/usc-sound-effect-archive/flooding/water-big-flood.wav	13249298	08758a272d9612dc3ee40b2ea5448ade	7c49d089e45913cc6530ead29fbe44dee3043590927a40f1f9d1098f214d937f	92.000000	1	48000	24
usc-aircraft-atlas	masters/usc-sound-effect-archive/missile/aircraft-atlas-missile-launch.wav	9400444	6188965abc223098a1a8e8aee79bf659	ed57f1f4c36ebd2672e33ebba9be0b42321196b28b45d363839cefca17a09df4	65.271833	1	48000	24
usc-aircraft-titan	masters/usc-sound-effect-archive/missile/aircraft-titan-missile-launch-long.wav	20161312	23fb08b1b6fd7cf0b4f55cad2d8f8d17	28646553f1417e6ff728d6ef43f83c99d921baa903996c3be8380bda96d50266	140.000000	1	48000	24
usc-aircraft-v2	masters/usc-sound-effect-archive/missile/aircraft-v2-rocket-fires.wav	6049288	f7bdcd29af71ba943d461b3614303d0e	62aae82f89c20db08e5da40705440605a21510cb046ad7b129691052ce3bbe0f	41.999979	1	48000	24
